HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Brazil,Scotland,1998,2,1,3
Spain,Nigeria,1998,2,3,5
Morocco,Norway,1998,2,2,4
Paraguay,Bulgaria,1998,0,0,0
Scotland,Norway,1998,1,1,2
Brazil,Norway,1998,1,2,3
Germany,Iran,1998,2,0,2
United States,FR Yugoslavia,1998,0,1,1
United States,Iran,1998,1,2,3
Germany,FR Yugoslavia,1998,2,2,4
Germany,United States,1998,2,0,2
FR Yugoslavia,Iran,1998,1,0,1
Belgium,South Korea,1998,1,1,2
England,Tunisia,1998,2,0,2
South Africa,Saudi Arabia,1998,2,2,4
Belgium,Mexico,1998,2,2,4
Netherlands,Belgium,1998,0,0,0
South Korea,Mexico,1998,1,3,4
Spain,Bulgaria,1998,6,1,7
Nigeria,Paraguay,1998,1,3,4
Spain,Paraguay,1998,0,0,0
Nigeria,Bulgaria,1998,1,0,1
Netherlands,South Korea,1998,5,0,5
Brazil,Morocco,1998,3,0,3
Romania,Colombia,1998,1,0,1
Romania,England,1998,2,1,3
Scotland,Morocco,1998,0,3,3
Italy,Chile,1998,2,2,4
Cameroon,Austria,1998,1,1,2
Chile,Austria,1998,1,1,2
Italy,Cameroon,1998,3,0,3
Italy,Austria,1998,2,1,3
Chile,Cameroon,1998,1,1,2
Colombia,Tunisia,1998,1,0,1
Saudi Arabia,Denmark,1998,0,1,1
South Africa,Denmark,1998,1,1,2
France,Saudi Arabia,1998,4,0,4
France,Denmark,1998,2,1,3
Jamaica,Croatia,1998,1,3,4
Argentina,Japan,1998,1,0,1
Romania,Tunisia,1998,1,1,2
Colombia,England,1998,0,2,2
France,South Africa,1998,3,0,3
Netherlands,Mexico,1998,2,2,4
Argentina,Jamaica,1998,5,0,5
Japan,Jamaica,1998,1,2,3
Nigeria,Denmark,1998,1,4,5
Germany,Mexico,1998,2,1,3
Netherlands,FR Yugoslavia,1998,2,1,3
Romania,Croatia,1998,0,1,1
Argentina,England,1998,2,2,4
Italy,France,1998,0,0,0
Brazil,Denmark,1998,3,2,5
Netherlands,Argentina,1998,2,1,3
Germany,Croatia,1998,0,3,3
Brazil,Netherlands,1998,1,1,2
France,Croatia,1998,2,1,3
Netherlands,Croatia,1998,1,2,3
Brazil,France,1998,0,3,3
Japan,Croatia,1998,0,1,1
Argentina,Croatia,1998,1,0,1
France,Paraguay,1998,1,0,1
Brazil,Chile,1998,4,1,5
Italy,Norway,1998,1,0,1
South Korea,Poland,2002,2,0,2
Brazil,Turkey,2002,2,1,3
Slovenia,Paraguay,2002,1,3,4
South Africa,Spain,2002,2,3,5
South Africa,Slovenia,2002,1,0,1
Turkey,China,2002,3,0,3
Spain,Slovenia,2002,3,1,4
Paraguay,South Africa,2002,2,2,4
Senegal,Uruguay,2002,3,3,6
Denmark,France,2002,2,0,2
France,Uruguay,2002,0,0,0
Denmark,Senegal,2002,1,1,2
